ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7610100,Source1,3,2018-03-26 05:52:33,2018-03-26 11:52:33,40.81573,-73.93097,40.81067,-73.93103,0.35,At 138th St/Grand Concourse/Exit 3 - Accident.,Major Deegan Expy N,Bronx,Bronx,NY,10451,US,US/Eastern,KLGA,2018-03-26 05:51:00,34.0,28.8,56.0,30.63,10.0,NE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-7610103,Source1,2,2018-03-26 07:21:03,2018-03-26 13:21:03,41.04778,-73.83440999999998,41.03965,-73.83666,0.574,At Saw Mill Pky/Exit 7A - Accident.,I-87 S,Elmsford,Westchester,NY,10523,US,US/Eastern,KHPN,2018-03-26 06:56:00,28.9,23.9,64.0,30.67,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610124,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.76208,-73.83781,40.76378,-73.8413,0.217,Ramp to RT-25A WB and Grand Central Pky - Accident.,Northern Blvd,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610125,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.76063,-73.83836,40.76208,-73.83781,0.104,Ramp to RT-25A WB and Grand Central Pky - Accident.,Van Wyck Expy N,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610126,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.75856,-73.85061,40.75846,-73.85461,0.209,Ramp to Exit 13 - Accident.,Whitestone Expy S,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610127,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.76096,-73.84594,40.75856,-73.85061,0.295,Ramp to Grand Central Pkwy - Accident.,Whitestone Expy S,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610128,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.76263,-73.84355,40.76096,-73.84594,0.17,Ramp to Grand Central Pky - Accident.,Whitestone Expy S,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610129,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.75909,-73.83876,40.76063,-73.83836,0.108,Ramp to RT-25A and Grand Central Pky - Accident.,Van Wyck Expy N,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610130,Source1,2,2018-03-26 09:00:49,2018-03-26 15:00:49,40.76378,-73.8413,40.76263,-73.84355,0.142,Ramp to Grand Central Pky - Accident.,Whitestone Expy S,Corona,Queens,NY,11368,US,US/Eastern,KLGA,2018-03-26 08:51:00,39.0,30.6,49.0,30.7,10.0,NE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610138,Source1,2,2018-03-26 10:20:27,2018-03-26 10:50:27,40.715174,-73.729201,40.71486,-73.729239,0.022,At RT-24/Hempstead Tpke/Exit 26 - Accident.,Cross Island Pkwy S,Queens Village,Queens,NY,11429,US,US/Eastern,KJFK,2018-03-26 09:51:00,39.9,30.8,49.0,30.71,10.0,NNE,18.4,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610140,Source1,2,2018-03-26 11:18:04,2018-03-26 17:18:04,40.9912,-73.67699,40.98985,-73.67572,0.114,At I-95 West/Exit 12 - Accident.,Cross Westchester Expy E,Rye,Westchester,NY,10580,US,US/Eastern,KHPN,2018-03-26 10:56:00,39.9,33.9,41.0,30.71,10.0,ENE,9.2,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610141,Source1,2,2018-03-26 12:16:34,2018-03-26 18:16:34,40.74197,-73.8976,40.74062,-73.8992,0.125,At Queens Blvd/Exit 36B - Accident.,Brooklyn Queens Expy,Woodside,Queens,NY,11377,US,US/Eastern,KLGA,2018-03-26 11:51:00,42.1,33.9,45.0,30.72,10.0,NE,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610142,Source1,2,2018-03-26 12:16:34,2018-03-26 18:16:34,40.73208,-73.87064000000002,40.73109,-73.87398,0.188,At Woodhaven Blvd - Accident.,Long Island Expy E,Elmhurst,Queens,NY,11373,US,US/Eastern,KLGA,2018-03-26 11:51:00,42.1,33.9,45.0,30.72,10.0,NE,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7610148,Source1,3,2018-03-26 14:03:21,2018-03-26 20:03:21,40.70952,-73.7964,40.70966,-73.795879,0.029,At 167th St - Accident., Hillside Ave,Jamaica,Queens,NY,11432-4251,US,US/Eastern,KJFK,2018-03-26 13:51:00,46.0,39.6,33.0,30.71,10.0,NE,15.0,,Partly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
